id,Umur,Premi,Lama_Berlangganan
123,72.0,44172.0,299.0
124,69.0,44019.0,44.0
127,57.0,49524.0,249.0
129,57.0,28411.0,117.0
130,46.0,46466.0,222.0
133,38.0,45919.0,33.0
134,20.0,27847.0,224.0
135,44.0,40374.0,133.0
137,26.0,25937.0,102.0
139,63.0,43289.0,50.0
140,36.0,2630.0,135.0
141,50.0,2630.0,73.0
144,37.0,15143.0,63.0
145,63.0,32175.0,129.0
147,22.0,28325.0,236.0
151,22.0,35035.0,94.0
153,25.0,32608.0,205.0
154,24.0,29955.0,275.0
157,39.0,2630.0,266.0
159,76.0,36971.0,99.0
160,25.0,33917.0,172.0
162,40.0,25772.0,269.0
168,21.0,25782.0,187.0
169,54.0,26815.0,200.0
171,29.0,2630.0,249.0
175,22.0,2630.0,208.0
176,24.0,46473.0,134.0
177,27.0,29379.0,120.0
178,65.0,38271.0,278.0
179,42.0,48155.0,237.0
180,30.0,50303.0,52.0
181,31.0,50207.0,177.0
183,24.0,29213.0,67.0
185,24.0,29405.0,165.0
186,29.0,49097.0,293.0
187,28.0,29716.0,186.0
189,42.0,27053.0,124.0
192,24.0,30279.0,100.0
194,33.0,30738.0,25.0
198,56.0,23475.0,99.0
199,27.0,32366.0,115.0
200,43.0,36988.0,297.0
201,24.0,23813.0,123.0
206,57.0,2630.0,175.0
207,50.0,34666.0,78.0
209,27.0,37919.0,233.0
214,30.0,32591.0,287.0
217,49.0,35015.0,227.0
218,27.0,2630.0,275.0
220,25.0,36431.0,242.0
223,22.0,36939.0,233.0
224,38.0,26031.0,216.0
225,50.0,33047.0,103.0
226,21.0,30534.0,160.0
228,20.0,43262.0,243.0
229,22.0,50754.0,129.0
231,42.0,26749.0,33.0
234,31.0,33239.0,74.0
235,67.0,37478.0,13.0
238,36.0,29315.0,154.0
239,59.0,27358.0,69.0
240,53.0,38884.0,112.0
241,58.0,47450.0,256.0
242,46.0,28044.0,17.0
243,22.0,30253.0,244.0
244,64.0,51321.0,166.0
245,47.0,29903.0,88.0
249,42.0,35441.0,33.0
250,47.0,2630.0,251.0
251,50.0,44599.0,136.0
252,24.0,2630.0,141.0
254,43.0,36379.0,19.0
260,24.0,22894.0,105.0
262,24.0,42385.0,66.0
263,27.0,36225.0,37.0
264,23.0,28426.0,124.0
269,25.0,25696.0,49.0
271,55.0,45475.0,91.0
272,23.0,35181.0,13.0
273,54.0,32685.0,32.0
274,21.0,38097.0,63.0
276,25.0,2630.0,147.0
277,23.0,29432.0,30.0
278,60.0,2630.0,13.0
279,21.0,36766.0,89.0
280,24.0,26121.0,217.0
281,21.0,31134.0,107.0
282,24.0,34079.0,94.0
283,45.0,33740.0,63.0
284,40.0,43023.0,229.0
286,42.0,2630.0,39.0
287,26.0,24409.0,11.0
288,25.0,26530.0,209.0
290,24.0,30913.0,80.0
291,41.0,23328.0,262.0
293,54.0,53123.0,181.0
294,43.0,39023.0,127.0
295,51.0,33757.0,30.0
298,21.0,36578.0,288.0
299,40.0,2630.0,179.0
300,25.0,38575.0,70.0
301,36.0,41340.0,91.0
303,22.0,28098.0,178.0
305,43.0,34099.0,147.0
307,21.0,42143.0,233.0
308,51.0,37920.0,232.0
309,25.0,25332.0,138.0
311,22.0,28621.0,188.0
313,33.0,53423.0,148.0
314,61.0,2630.0,182.0
315,46.0,47615.0,84.0
316,27.0,24265.0,259.0
318,21.0,28733.0,70.0
322,44.0,21053.0,204.0
325,24.0,35337.0,136.0
327,44.0,23443.0,184.0
328,48.0,2630.0,180.0
329,31.0,27750.0,220.0
330,32.0,2630.0,21.0
332,45.0,48128.0,258.0
333,36.0,32794.0,283.0
334,44.0,2630.0,221.0
335,25.0,37738.0,239.0
336,23.0,26103.0,175.0
337,24.0,31994.0,130.0
340,57.0,2630.0,188.0
343,52.0,42243.0,233.0
344,41.0,36399.0,208.0
345,58.0,38275.0,294.0
347,23.0,28469.0,96.0
349,78.0,53135.0,267.0
350,23.0,31895.0,189.0
351,20.0,37622.0,184.0
353,35.0,45179.0,194.0
354,52.0,2630.0,217.0
355,56.0,26959.0,42.0
356,29.0,2630.0,138.0
358,21.0,32941.0,57.0
359,35.0,34492.0,245.0
361,53.0,29906.0,269.0
364,36.0,2630.0,42.0
365,34.0,2630.0,90.0
366,23.0,33322.0,234.0
367,26.0,17213.0,174.0
368,78.0,38375.0,253.0
370,61.0,35290.0,179.0
371,23.0,25468.0,29.0
372,43.0,30305.0,185.0
376,24.0,33585.0,27.0
378,44.0,38086.0,176.0
379,23.0,35857.0,259.0
380,24.0,24299.0,176.0
382,29.0,2630.0,149.0
384,28.0,31856.0,192.0
385,33.0,39149.0,80.0
387,32.0,27731.0,179.0
388,45.0,2630.0,185.0
389,45.0,29683.0,289.0
390,60.0,38398.0,96.0
391,26.0,23451.0,278.0
392,64.0,29317.0,123.0
396,26.0,48716.0,73.0
397,40.0,28398.0,292.0
399,32.0,58579.0,63.0
403,22.0,35078.0,246.0
404,25.0,23011.0,133.0
406,49.0,30011.0,237.0
408,32.0,34089.0,54.0
410,33.0,32236.0,295.0
411,26.0,22074.0,236.0
412,26.0,37624.0,266.0
413,22.0,39211.0,202.0
414,26.0,25951.0,229.0
415,25.0,28483.0,169.0
417,23.0,31954.0,84.0
418,25.0,25293.0,34.0
422,61.0,26202.0,191.0
423,67.0,40810.0,202.0
426,74.0,29306.0,50.0
427,28.0,44965.0,94.0
428,72.0,44119.0,279.0
429,31.0,29317.0,139.0
431,24.0,35517.0,210.0
436,22.0,24960.0,115.0
437,39.0,30606.0,123.0
438,56.0,37995.0,162.0
441,53.0,49641.0,44.0
442,45.0,41750.0,119.0
444,37.0,30226.0,147.0
446,34.0,28358.0,217.0
448,41.0,27215.0,213.0
449,24.0,36519.0,140.0
450,36.0,40181.0,213.0
451,39.0,2630.0,280.0
452,50.0,31837.0,117.0
455,30.0,25349.0,68.0
456,20.0,28099.0,282.0
457,31.0,58259.0,71.0
458,22.0,36559.0,189.0
459,27.0,33961.0,120.0
461,24.0,47089.0,81.0
462,35.0,23901.0,117.0
463,24.0,43384.0,176.0
464,53.0,2630.0,209.0
467,22.0,26672.0,175.0
468,40.0,35056.0,121.0
469,45.0,24543.0,250.0
471,65.0,41384.0,31.0
473,75.0,32164.0,260.0
474,20.0,24787.0,106.0
475,53.0,2630.0,243.0
476,62.0,2630.0,109.0
478,29.0,2630.0,36.0
479,61.0,29080.0,66.0
481,23.0,53288.0,35.0
482,50.0,37443.0,160.0
483,39.0,32394.0,183.0
484,24.0,26347.0,128.0
486,28.0,2630.0,149.0
487,49.0,39602.0,173.0
488,26.0,2630.0,40.0
492,22.0,20512.0,240.0
494,26.0,38904.0,166.0
497,30.0,26141.0,208.0
498,53.0,35797.0,282.0
501,53.0,25426.0,179.0
502,51.0,48302.0,148.0
503,47.0,50369.0,21.0
506,33.0,50600.0,147.0
507,24.0,23299.0,170.0
510,31.0,26975.0,278.0
511,56.0,28624.0,170.0
513,22.0,28368.0,85.0
514,23.0,48379.0,241.0
517,30.0,2630.0,93.0
518,27.0,2630.0,191.0
519,22.0,19223.0,28.0
520,64.0,53563.0,159.0
521,30.0,2630.0,73.0
524,41.0,31399.0,25.0
525,21.0,27785.0,57.0
526,21.0,44324.0,83.0
527,60.0,38475.0,172.0
528,46.0,58141.0,107.0
533,52.0,56499.0,118.0
534,51.0,26895.0,36.0
540,22.0,41423.0,43.0
543,77.0,37549.0,77.0
545,40.0,28968.0,173.0
547,39.0,33278.0,210.0
548,64.0,45180.0,194.0
549,40.0,26483.0,296.0
550,44.0,30121.0,249.0
551,35.0,45532.0,196.0
553,25.0,29271.0,234.0
554,77.0,42136.0,62.0
555,24.0,25256.0,44.0
556,32.0,31817.0,158.0
557,42.0,48728.0,156.0
561,44.0,38627.0,63.0
562,43.0,29381.0,155.0
563,53.0,2630.0,129.0
564,45.0,28455.0,83.0
566,21.0,2630.0,12.0
567,23.0,36255.0,217.0
568,39.0,27137.0,119.0
571,49.0,2630.0,71.0
572,26.0,2630.0,241.0
573,70.0,34736.0,140.0
575,28.0,47230.0,198.0
577,26.0,24980.0,241.0
579,52.0,49418.0,77.0
580,47.0,34478.0,179.0
581,57.0,2630.0,250.0
586,72.0,35916.0,299.0
588,24.0,26591.0,223.0
589,26.0,32212.0,121.0
590,21.0,2630.0,232.0
591,41.0,34529.0,113.0
592,21.0,34832.0,295.0
595,24.0,48838.0,297.0
597,41.0,46260.0,67.0
598,26.0,36746.0,216.0
599,58.0,30746.0,186.0
600,39.0,32558.0,96.0
603,37.0,27922.0,89.0
604,44.0,31303.0,84.0
605,41.0,2630.0,25.0
606,58.0,47505.0,13.0
607,25.0,2630.0,157.0
608,44.0,25578.0,226.0
609,27.0,30183.0,55.0
610,50.0,33964.0,250.0
611,23.0,48848.0,296.0
613,43.0,34069.0,36.0
615,41.0,31024.0,23.0
616,26.0,39330.0,227.0
617,59.0,2630.0,79.0
620,60.0,52998.0,297.0
621,46.0,2630.0,126.0
622,36.0,2630.0,112.0
623,50.0,43295.0,214.0
624,43.0,33774.0,101.0
626,25.0,28782.0,211.0
630,62.0,31904.0,187.0
631,68.0,27422.0,106.0
633,22.0,28547.0,133.0
636,51.0,24665.0,32.0
639,46.0,27139.0,271.0
642,23.0,34302.0,238.0
646,41.0,26208.0,152.0
647,48.0,2630.0,164.0
648,21.0,24762.0,222.0
651,22.0,31539.0,242.0
652,42.0,2630.0,41.0
654,61.0,37551.0,75.0
659,42.0,31175.0,197.0
660,61.0,2630.0,72.0
662,30.0,2630.0,114.0
663,70.0,2630.0,242.0
664,42.0,39553.0,70.0
665,34.0,29442.0,25.0
667,26.0,34223.0,218.0
669,23.0,31796.0,53.0
674,77.0,33625.0,37.0
675,22.0,37983.0,211.0
676,22.0,36133.0,258.0
677,74.0,47928.0,166.0
679,63.0,60450.0,250.0
680,40.0,28479.0,152.0
682,51.0,2630.0,208.0
684,53.0,42724.0,68.0
685,57.0,24514.0,116.0
686,32.0,45324.0,26.0
689,21.0,33547.0,112.0
691,22.0,42447.0,279.0
692,26.0,52534.0,226.0
694,23.0,44000.0,147.0
695,47.0,21143.0,128.0
697,53.0,44919.0,215.0
700,43.0,2630.0,249.0
701,48.0,2630.0,31.0
702,23.0,33773.0,127.0
703,34.0,2630.0,96.0
708,47.0,41335.0,99.0
709,29.0,32475.0,98.0
711,24.0,21303.0,233.0
712,27.0,45518.0,193.0
714,56.0,44977.0,66.0
717,28.0,26925.0,257.0
718,37.0,27958.0,33.0
719,45.0,29229.0,271.0
720,39.0,45822.0,35.0
721,22.0,25020.0,276.0
723,53.0,29736.0,154.0
725,27.0,28513.0,80.0
728,64.0,48108.0,121.0
730,40.0,37165.0,113.0
731,72.0,43695.0,97.0
732,23.0,21584.0,102.0
733,43.0,33142.0,298.0
734,22.0,29950.0,87.0
735,24.0,25722.0,171.0
736,67.0,45778.0,119.0
737,62.0,38446.0,49.0
740,36.0,38104.0,133.0
741,48.0,2630.0,264.0
744,27.0,30584.0,241.0
745,52.0,22333.0,291.0
746,26.0,25582.0,52.0
747,60.0,30282.0,30.0
748,53.0,49588.0,295.0
749,28.0,24443.0,194.0
754,21.0,36758.0,292.0
756,49.0,42743.0,34.0
759,32.0,2630.0,268.0
760,21.0,42115.0,168.0
761,51.0,39421.0,273.0
762,26.0,2630.0,156.0
764,56.0,30660.0,159.0
766,76.0,56749.0,165.0
768,46.0,39709.0,258.0
770,39.0,20368.0,100.0
771,21.0,27549.0,11.0
773,53.0,34084.0,253.0
774,46.0,43619.0,156.0
775,25.0,23700.0,27.0
776,32.0,53571.0,154.0
777,21.0,33966.0,70.0
779,50.0,51446.0,33.0
786,54.0,36098.0,245.0
787,44.0,42571.0,30.0
788,47.0,34010.0,148.0
790,37.0,32459.0,271.0
791,21.0,30011.0,185.0
792,24.0,39680.0,103.0
794,26.0,2630.0,183.0
795,23.0,33973.0,152.0
797,77.0,28709.0,244.0
798,25.0,29123.0,167.0
799,74.0,50362.0,61.0
800,33.0,32700.0,297.0
801,73.0,35864.0,217.0
803,55.0,34415.0,144.0
805,24.0,2630.0,221.0
806,23.0,26765.0,53.0
807,22.0,2630.0,58.0
811,35.0,2630.0,172.0
812,69.0,42309.0,220.0
814,31.0,27760.0,137.0
815,26.0,43715.0,106.0
818,28.0,30119.0,76.0
820,54.0,28607.0,82.0
821,21.0,28037.0,298.0
822,22.0,25409.0,245.0
823,27.0,31494.0,228.0
824,45.0,35668.0,117.0
826,38.0,27852.0,73.0
827,54.0,2630.0,34.0
828,41.0,34347.0,67.0
829,27.0,30163.0,91.0
830,66.0,35958.0,18.0
831,23.0,38976.0,60.0
832,28.0,31108.0,11.0
836,54.0,2630.0,10.0
838,21.0,2630.0,69.0
839,23.0,26701.0,25.0
840,42.0,31455.0,130.0
842,66.0,43360.0,99.0
844,23.0,29649.0,55.0
845,22.0,20956.0,298.0
846,34.0,2630.0,149.0
848,54.0,40127.0,122.0
852,22.0,43486.0,171.0
853,69.0,42878.0,98.0
854,31.0,46237.0,175.0
855,20.0,23235.0,18.0
857,29.0,2630.0,117.0
858,30.0,30422.0,253.0
860,23.0,34569.0,47.0
862,60.0,40381.0,216.0
863,43.0,38155.0,162.0
864,47.0,20591.0,155.0
865,50.0,38702.0,13.0
866,42.0,34469.0,263.0
867,46.0,36761.0,53.0
868,23.0,15677.0,40.0
869,23.0,24368.0,116.0
871,58.0,27453.0,117.0
875,74.0,38440.0,224.0
876,23.0,41874.0,21.0
878,24.0,36756.0,174.0
879,67.0,31479.0,223.0
881,45.0,2630.0,248.0
882,25.0,17330.0,236.0
885,28.0,18854.0,213.0
889,21.0,40226.0,111.0
890,50.0,2630.0,67.0
892,67.0,2630.0,120.0
893,25.0,39500.0,130.0
894,21.0,35118.0,284.0
896,48.0,38410.0,124.0
897,47.0,2630.0,109.0
898,22.0,38818.0,66.0
900,37.0,2630.0,122.0
901,43.0,42700.0,57.0
902,23.0,2630.0,21.0
903,50.0,39889.0,60.0
905,33.0,33804.0,297.0
906,56.0,22238.0,71.0
907,49.0,44559.0,193.0
910,23.0,32207.0,241.0
912,23.0,42378.0,205.0
913,21.0,22695.0,33.0
914,26.0,35318.0,211.0
916,33.0,56580.0,40.0
918,26.0,29759.0,143.0
920,38.0,2630.0,47.0
922,30.0,30330.0,70.0
925,27.0,22347.0,276.0
926,75.0,42349.0,122.0
927,37.0,45402.0,108.0
929,26.0,28785.0,149.0
932,55.0,36338.0,21.0
934,22.0,30330.0,274.0
935,44.0,2630.0,121.0
936,56.0,37002.0,48.0
938,23.0,30121.0,210.0
939,21.0,34097.0,248.0
940,69.0,41362.0,228.0
941,25.0,37832.0,252.0
942,67.0,2630.0,167.0
945,23.0,36480.0,277.0
948,44.0,38347.0,233.0
949,63.0,23168.0,146.0
950,53.0,38650.0,205.0
951,22.0,2630.0,121.0
952,28.0,24916.0,211.0
955,45.0,32218.0,178.0
957,29.0,31529.0,222.0
958,22.0,22897.0,226.0
959,40.0,28244.0,69.0
960,25.0,17487.0,277.0
961,44.0,45546.0,99.0
966,38.0,39771.0,169.0
967,77.0,49214.0,132.0
968,45.0,36822.0,92.0
970,23.0,21954.0,56.0
972,23.0,2630.0,169.0
975,25.0,52365.0,118.0
977,24.0,54187.0,259.0
980,23.0,23142.0,17.0
981,37.0,34844.0,119.0
983,38.0,30435.0,203.0
989,45.0,31239.0,181.0
991,69.0,44038.0,95.0
993,32.0,25906.0,207.0
994,40.0,36245.0,34.0
995,28.0,34465.0,220.0
996,33.0,35774.0,227.0
999,43.0,2630.0,84.0
1000,23.0,29990.0,146.0
1002,24.0,30068.0,168.0
1004,44.0,37526.0,98.0
1005,68.0,2630.0,207.0
1006,27.0,35826.0,174.0
1008,73.0,27759.0,177.0
1009,24.0,22009.0,198.0
1010,22.0,31210.0,126.0
1015,55.0,22312.0,60.0
1016,22.0,40565.0,253.0
1017,71.0,31582.0,203.0
1018,24.0,30762.0,79.0
1020,80.0,2630.0,134.0
1021,46.0,26184.0,150.0
1023,48.0,21421.0,169.0
1027,28.0,36329.0,227.0
1029,77.0,2630.0,209.0
1031,29.0,2630.0,100.0
1033,23.0,24155.0,275.0
1034,53.0,19431.0,191.0
1035,24.0,41043.0,233.0
1038,46.0,29166.0,234.0
1040,69.0,35660.0,180.0
1041,52.0,49145.0,186.0
1042,48.0,43934.0,26.0
1046,54.0,24293.0,251.0
1047,42.0,34837.0,39.0
1048,25.0,36099.0,19.0
1050,27.0,52460.0,152.0
1055,29.0,28589.0,262.0
1056,50.0,27213.0,164.0
1057,35.0,2630.0,212.0
1058,71.0,30562.0,117.0
1060,58.0,48895.0,294.0
1061,34.0,34851.0,269.0
1063,40.0,37134.0,55.0
1067,65.0,2630.0,110.0
1068,24.0,28697.0,56.0
1069,53.0,49959.0,53.0
1070,68.0,41969.0,126.0
1071,47.0,56434.0,173.0
1072,31.0,24185.0,250.0
1073,50.0,2630.0,236.0
1074,26.0,25453.0,193.0
1075,24.0,2630.0,215.0
1077,26.0,2630.0,112.0
1078,21.0,34064.0,142.0
1081,33.0,26191.0,125.0
1083,58.0,42319.0,148.0
1085,69.0,45193.0,78.0
1087,21.0,28447.0,127.0
1089,59.0,41703.0,151.0
1090,27.0,42758.0,274.0
1091,39.0,26503.0,90.0
1093,47.0,37545.0,151.0
1094,28.0,32609.0,74.0
1095,22.0,28331.0,291.0
1102,78.0,2630.0,251.0
1105,51.0,41008.0,28.0
1107,35.0,2630.0,290.0
1108,25.0,2630.0,24.0
1113,54.0,2630.0,148.0
1114,43.0,27561.0,292.0
1117,21.0,29025.0,21.0
1118,28.0,34762.0,291.0
1120,45.0,45427.0,135.0
1121,67.0,30631.0,294.0
1122,23.0,24449.0,195.0
1124,22.0,24843.0,48.0
1127,56.0,2630.0,244.0
1130,54.0,51198.0,189.0
1131,23.0,27363.0,295.0
1132,70.0,24356.0,289.0
1134,27.0,20669.0,57.0
1135,47.0,41581.0,99.0
1136,51.0,38146.0,142.0
1137,23.0,43008.0,272.0
1138,23.0,45439.0,182.0
1139,23.0,35448.0,112.0
1141,22.0,29435.0,178.0
1142,23.0,2630.0,71.0
1143,40.0,41771.0,103.0
1144,22.0,30966.0,213.0
1148,49.0,31431.0,10.0
1149,52.0,41644.0,160.0
1150,29.0,32055.0,212.0
1151,25.0,40542.0,284.0
1153,23.0,31328.0,116.0
1154,21.0,36464.0,182.0
1156,28.0,34837.0,198.0
1158,40.0,22991.0,16.0
1159,32.0,36225.0,76.0
1160,31.0,2630.0,87.0
1161,58.0,35564.0,258.0
1163,25.0,32002.0,265.0
1166,60.0,27341.0,195.0
1167,33.0,40082.0,128.0
1170,50.0,47647.0,227.0
1171,60.0,35481.0,63.0
1173,30.0,2630.0,286.0
1174,32.0,2630.0,270.0
1175,24.0,27240.0,277.0
1176,38.0,34863.0,170.0
1183,22.0,21982.0,72.0
1184,65.0,28320.0,29.0
1185,44.0,2630.0,131.0
1187,25.0,33350.0,10.0
1188,50.0,2630.0,45.0
1189,30.0,40098.0,98.0
1193,22.0,25723.0,161.0
1194,70.0,51713.0,244.0
1195,40.0,30811.0,282.0
1196,52.0,34782.0,111.0
1197,41.0,33436.0,267.0
1200,26.0,2630.0,63.0
1205,35.0,29597.0,97.0
1206,23.0,39226.0,48.0
1207,33.0,26643.0,239.0
1208,39.0,33970.0,69.0
1210,23.0,2630.0,287.0
1211,25.0,29563.0,197.0
1213,25.0,44274.0,140.0
1214,75.0,29246.0,221.0
1217,31.0,27087.0,270.0
1218,23.0,49108.0,197.0
1219,22.0,24670.0,281.0
1222,30.0,36142.0,156.0
1224,34.0,22889.0,267.0
1226,64.0,42908.0,55.0
1227,44.0,22787.0,165.0
1228,28.0,50126.0,264.0
1229,20.0,2630.0,150.0
1230,46.0,33980.0,171.0
1231,52.0,33196.0,10.0
1232,49.0,32944.0,280.0
1234,24.0,26193.0,167.0
1235,25.0,40537.0,35.0
1238,24.0,16520.0,205.0
1239,50.0,44957.0,224.0
1240,39.0,2630.0,175.0
1241,63.0,2630.0,52.0
1242,24.0,30132.0,223.0
1243,45.0,35839.0,285.0
1245,53.0,22901.0,195.0
1249,77.0,2630.0,233.0
1250,38.0,33231.0,166.0
1251,23.0,26803.0,204.0
1253,29.0,26303.0,293.0
1258,46.0,34150.0,206.0
1260,79.0,2630.0,127.0
1262,56.0,2630.0,194.0
1263,26.0,33815.0,176.0
1265,23.0,27228.0,39.0
1268,22.0,2630.0,158.0
1271,24.0,48289.0,113.0
1272,50.0,28343.0,43.0
1273,47.0,42624.0,206.0
1274,20.0,35949.0,138.0
1276,24.0,2630.0,258.0
1278,22.0,27770.0,31.0
1280,25.0,26119.0,252.0
1282,75.0,2630.0,265.0
1283,44.0,26157.0,150.0
1286,49.0,2630.0,112.0
1287,29.0,23828.0,190.0
1289,58.0,29056.0,169.0
1290,44.0,43559.0,106.0
1291,35.0,28614.0,118.0
1293,44.0,2630.0,81.0
1294,24.0,29845.0,226.0
1295,33.0,2630.0,238.0
1296,28.0,2630.0,202.0
1301,48.0,37577.0,180.0
1306,33.0,49471.0,282.0
1309,47.0,2630.0,117.0
1310,26.0,26059.0,225.0
1312,39.0,2630.0,178.0
1313,22.0,2630.0,107.0
1316,30.0,32684.0,63.0
1320,71.0,39145.0,254.0
1327,25.0,31307.0,19.0
1329,59.0,27560.0,280.0
1330,44.0,42311.0,125.0
1331,67.0,38305.0,217.0
1332,26.0,30500.0,147.0
1337,53.0,44841.0,263.0
1338,29.0,25514.0,65.0
1339,35.0,34747.0,129.0
1342,24.0,38816.0,59.0
1343,23.0,40721.0,182.0
1346,21.0,36998.0,214.0
1348,31.0,49862.0,261.0
1350,22.0,30125.0,157.0
1351,50.0,2630.0,227.0
1354,23.0,32389.0,189.0
1355,35.0,2630.0,205.0
1359,74.0,44767.0,217.0
1361,42.0,27242.0,132.0
1362,23.0,39450.0,234.0
1363,38.0,54272.0,199.0
1364,31.0,28816.0,176.0
1365,70.0,49163.0,237.0
1366,42.0,34586.0,66.0
1367,24.0,43104.0,50.0
1370,21.0,37055.0,217.0
1371,24.0,49512.0,109.0
1373,29.0,36862.0,106.0
1375,21.0,57167.0,49.0
1376,23.0,34744.0,115.0
1377,29.0,2630.0,252.0
1379,48.0,50403.0,175.0
1381,22.0,23688.0,174.0
1382,24.0,33964.0,55.0
1383,30.0,2630.0,148.0
1384,59.0,33484.0,242.0
1385,51.0,44861.0,297.0
1388,37.0,45887.0,217.0
1390,60.0,50572.0,198.0
1393,24.0,28942.0,58.0
1394,21.0,12925.0,106.0
1396,50.0,41415.0,168.0
1397,22.0,49695.0,76.0
1399,23.0,2630.0,194.0
1401,47.0,30964.0,116.0
1402,24.0,58727.0,153.0
1403,27.0,29387.0,298.0
1404,31.0,29434.0,170.0
1405,23.0,28456.0,71.0
1407,32.0,26067.0,121.0
1409,47.0,40330.0,208.0
1410,42.0,37483.0,54.0
1412,54.0,2630.0,150.0
1413,53.0,32752.0,153.0
1415,47.0,38139.0,271.0
1416,35.0,30636.0,278.0
1417,56.0,30884.0,230.0
1420,53.0,2630.0,136.0
1421,40.0,2630.0,152.0
1422,27.0,28046.0,135.0
1423,26.0,28482.0,207.0
1425,54.0,47406.0,151.0
1426,26.0,2630.0,63.0
1427,49.0,24842.0,275.0
1428,38.0,39049.0,221.0
1429,65.0,40319.0,18.0
1431,21.0,39395.0,151.0
1432,26.0,2630.0,74.0
1438,40.0,26076.0,211.0
1439,32.0,21066.0,181.0
1440,21.0,26929.0,156.0
1441,44.0,27070.0,24.0
1442,24.0,33817.0,258.0
1443,41.0,2630.0,282.0
1445,24.0,27318.0,226.0
1447,73.0,55317.0,281.0
1449,40.0,29329.0,59.0
1450,52.0,31492.0,282.0
1453,21.0,34936.0,165.0
1454,21.0,29820.0,30.0
1455,21.0,2630.0,201.0
1458,26.0,30566.0,63.0
1460,20.0,31783.0,101.0
1461,45.0,22649.0,120.0
1462,45.0,2630.0,266.0
1463,57.0,2630.0,86.0
1465,22.0,43343.0,87.0
1466,26.0,31510.0,175.0
1467,40.0,36348.0,40.0
1468,40.0,33787.0,162.0
1469,44.0,2630.0,189.0
1473,79.0,35590.0,277.0
1474,25.0,32077.0,157.0
1475,39.0,26789.0,23.0
1477,28.0,33009.0,170.0
1478,24.0,41763.0,35.0
1479,41.0,24337.0,247.0
1480,23.0,29678.0,216.0
1481,24.0,38228.0,148.0
1482,45.0,52205.0,292.0
1483,37.0,34095.0,137.0
1485,48.0,45244.0,115.0
1487,22.0,34102.0,295.0
1488,71.0,34829.0,260.0
1490,52.0,2630.0,281.0
1491,21.0,29293.0,228.0
1492,37.0,38331.0,239.0
1494,22.0,38344.0,232.0
1495,68.0,2630.0,268.0
1497,75.0,33299.0,134.0
1500,40.0,2630.0,125.0
1502,29.0,2630.0,24.0
1504,51.0,2630.0,238.0
1506,71.0,42881.0,105.0
1507,37.0,36373.0,74.0
1509,31.0,25157.0,105.0
1512,57.0,38944.0,202.0
1514,25.0,32141.0,178.0
1516,47.0,37782.0,59.0
1518,53.0,2630.0,97.0
1522,58.0,58709.0,16.0
1524,59.0,33416.0,30.0
1525,45.0,2630.0,19.0
1527,24.0,29414.0,265.0
1529,38.0,2630.0,87.0
1530,46.0,22056.0,236.0
1531,20.0,2630.0,30.0
1532,20.0,23069.0,20.0
1533,51.0,25603.0,133.0
1534,24.0,30886.0,27.0
1536,42.0,41315.0,299.0
1537,20.0,36179.0,247.0
1538,22.0,39808.0,64.0
1539,76.0,60732.0,217.0
1540,50.0,31770.0,233.0
1541,22.0,2630.0,207.0
