id,Premi,Lama_Berlangganan
177,29379.0,120.0
178,38271.0,278.0
179,48155.0,237.0
180,50303.0,52.0
181,50207.0,177.0
183,29213.0,67.0
185,29405.0,165.0
186,49097.0,293.0
187,29716.0,186.0
189,27053.0,124.0
192,30279.0,100.0
194,30738.0,25.0
198,23475.0,99.0
199,32366.0,115.0
200,36988.0,297.0
201,23813.0,123.0
206,2630.0,175.0
207,34666.0,78.0
209,37919.0,233.0
214,32591.0,287.0
217,35015.0,227.0
218,2630.0,275.0
220,36431.0,242.0
223,36939.0,233.0
224,26031.0,216.0
225,33047.0,103.0
226,30534.0,160.0
228,43262.0,243.0
229,50754.0,129.0
231,26749.0,33.0
234,33239.0,74.0
235,37478.0,13.0
238,29315.0,154.0
239,27358.0,69.0
240,38884.0,112.0
241,47450.0,256.0
242,28044.0,17.0
243,30253.0,244.0
244,51321.0,166.0
245,29903.0,88.0
249,35441.0,33.0
250,2630.0,251.0
251,44599.0,136.0
252,2630.0,141.0
254,36379.0,19.0
260,22894.0,105.0
262,42385.0,66.0
263,36225.0,37.0
264,28426.0,124.0
269,25696.0,49.0
271,45475.0,91.0
272,35181.0,13.0
273,32685.0,32.0
274,38097.0,63.0
276,2630.0,147.0
277,29432.0,30.0
278,2630.0,13.0
279,36766.0,89.0
280,26121.0,217.0
281,31134.0,107.0
282,34079.0,94.0
283,33740.0,63.0
284,43023.0,229.0
286,2630.0,39.0
287,24409.0,11.0
288,26530.0,209.0
290,30913.0,80.0
291,23328.0,262.0
293,53123.0,181.0
294,39023.0,127.0
295,33757.0,30.0
298,36578.0,288.0
299,2630.0,179.0
300,38575.0,70.0
301,41340.0,91.0
303,28098.0,178.0
305,34099.0,147.0
307,42143.0,233.0
308,37920.0,232.0
309,25332.0,138.0
311,28621.0,188.0
313,53423.0,148.0
314,2630.0,182.0
315,47615.0,84.0
316,24265.0,259.0
318,28733.0,70.0
322,21053.0,204.0
325,35337.0,136.0
327,23443.0,184.0
328,2630.0,180.0
329,27750.0,220.0
330,2630.0,21.0
332,48128.0,258.0
333,32794.0,283.0
334,2630.0,221.0
335,37738.0,239.0
336,26103.0,175.0
337,31994.0,130.0
340,2630.0,188.0
343,42243.0,233.0
344,36399.0,208.0
345,38275.0,294.0
347,28469.0,96.0
349,53135.0,267.0
350,31895.0,189.0
351,37622.0,184.0
353,45179.0,194.0
354,2630.0,217.0
355,26959.0,42.0
356,2630.0,138.0
358,32941.0,57.0
359,34492.0,245.0
361,29906.0,269.0
364,2630.0,42.0
365,2630.0,90.0
366,33322.0,234.0
367,17213.0,174.0
368,38375.0,253.0
370,35290.0,179.0
371,25468.0,29.0
372,30305.0,185.0
376,33585.0,27.0
378,38086.0,176.0
379,35857.0,259.0
380,24299.0,176.0
382,2630.0,149.0
384,31856.0,192.0
385,39149.0,80.0
387,27731.0,179.0
388,2630.0,185.0
389,29683.0,289.0
390,38398.0,96.0
391,23451.0,278.0
392,29317.0,123.0
396,48716.0,73.0
397,28398.0,292.0
399,58579.0,63.0
403,35078.0,246.0
404,23011.0,133.0
406,30011.0,237.0
408,34089.0,54.0
410,32236.0,295.0
411,22074.0,236.0
412,37624.0,266.0
413,39211.0,202.0
414,25951.0,229.0
415,28483.0,169.0
417,31954.0,84.0
418,25293.0,34.0
422,26202.0,191.0
423,40810.0,202.0
426,29306.0,50.0
427,44965.0,94.0
428,44119.0,279.0
429,29317.0,139.0
431,35517.0,210.0
436,24960.0,115.0
437,30606.0,123.0
438,37995.0,162.0
441,49641.0,44.0
442,41750.0,119.0
444,30226.0,147.0
446,28358.0,217.0
448,27215.0,213.0
449,36519.0,140.0
450,40181.0,213.0
451,2630.0,280.0
452,31837.0,117.0
455,25349.0,68.0
456,28099.0,282.0
457,58259.0,71.0
458,36559.0,189.0
459,33961.0,120.0
461,47089.0,81.0
462,23901.0,117.0
463,43384.0,176.0
464,2630.0,209.0
467,26672.0,175.0
468,35056.0,121.0
469,24543.0,250.0
471,41384.0,31.0
473,32164.0,260.0
474,24787.0,106.0
475,2630.0,243.0
476,2630.0,109.0
478,2630.0,36.0
479,29080.0,66.0
481,53288.0,35.0
482,37443.0,160.0
483,32394.0,183.0
484,26347.0,128.0
486,2630.0,149.0
487,39602.0,173.0
488,2630.0,40.0
492,20512.0,240.0
494,38904.0,166.0
497,26141.0,208.0
498,35797.0,282.0
501,25426.0,179.0
502,48302.0,148.0
503,50369.0,21.0
506,50600.0,147.0
507,23299.0,170.0
510,26975.0,278.0
511,28624.0,170.0
513,28368.0,85.0
514,48379.0,241.0
517,2630.0,93.0
518,2630.0,191.0
519,19223.0,28.0
520,53563.0,159.0
521,2630.0,73.0
524,31399.0,25.0
525,27785.0,57.0
526,44324.0,83.0
527,38475.0,172.0
528,58141.0,107.0
533,56499.0,118.0
534,26895.0,36.0
540,41423.0,43.0
543,37549.0,77.0
545,28968.0,173.0
547,33278.0,210.0
548,45180.0,194.0
549,26483.0,296.0
550,30121.0,249.0
551,45532.0,196.0
553,29271.0,234.0
554,42136.0,62.0
555,25256.0,44.0
556,31817.0,158.0
557,48728.0,156.0
561,38627.0,63.0
562,29381.0,155.0
563,2630.0,129.0
564,28455.0,83.0
566,2630.0,12.0
567,36255.0,217.0
568,27137.0,119.0
571,2630.0,71.0
572,2630.0,241.0
573,34736.0,140.0
575,47230.0,198.0
577,24980.0,241.0
579,49418.0,77.0
580,34478.0,179.0
581,2630.0,250.0
586,35916.0,299.0
588,26591.0,223.0
589,32212.0,121.0
590,2630.0,232.0
591,34529.0,113.0
592,34832.0,295.0
595,48838.0,297.0
597,46260.0,67.0
598,36746.0,216.0
599,30746.0,186.0
600,32558.0,96.0
603,27922.0,89.0
604,31303.0,84.0
605,2630.0,25.0
606,47505.0,13.0
607,2630.0,157.0
608,25578.0,226.0
609,30183.0,55.0
610,33964.0,250.0
611,48848.0,296.0
613,34069.0,36.0
615,31024.0,23.0
616,39330.0,227.0
617,2630.0,79.0
620,52998.0,297.0
621,2630.0,126.0
622,2630.0,112.0
623,43295.0,214.0
624,33774.0,101.0
626,28782.0,211.0
630,31904.0,187.0
631,27422.0,106.0
633,28547.0,133.0
636,24665.0,32.0
639,27139.0,271.0
642,34302.0,238.0
646,26208.0,152.0
647,2630.0,164.0
648,24762.0,222.0
651,31539.0,242.0
652,2630.0,41.0
654,37551.0,75.0
659,31175.0,197.0
660,2630.0,72.0
662,2630.0,114.0
663,2630.0,242.0
664,39553.0,70.0
665,29442.0,25.0
667,34223.0,218.0
669,31796.0,53.0
674,33625.0,37.0
675,37983.0,211.0
676,36133.0,258.0
677,47928.0,166.0
679,60450.0,250.0
680,28479.0,152.0
682,2630.0,208.0
684,42724.0,68.0
685,24514.0,116.0
686,45324.0,26.0
689,33547.0,112.0
691,42447.0,279.0
692,52534.0,226.0
694,44000.0,147.0
695,21143.0,128.0
697,44919.0,215.0
700,2630.0,249.0
701,2630.0,31.0
702,33773.0,127.0
703,2630.0,96.0
708,41335.0,99.0
709,32475.0,98.0
711,21303.0,233.0
712,45518.0,193.0
714,44977.0,66.0
717,26925.0,257.0
718,27958.0,33.0
719,29229.0,271.0
720,45822.0,35.0
721,25020.0,276.0
723,29736.0,154.0
725,28513.0,80.0
728,48108.0,121.0
730,37165.0,113.0
731,43695.0,97.0
732,21584.0,102.0
733,33142.0,298.0
734,29950.0,87.0
735,25722.0,171.0
736,45778.0,119.0
737,38446.0,49.0
740,38104.0,133.0
741,2630.0,264.0
744,30584.0,241.0
745,22333.0,291.0
746,25582.0,52.0
747,30282.0,30.0
748,49588.0,295.0
749,24443.0,194.0
754,36758.0,292.0
756,42743.0,34.0
759,2630.0,268.0
760,42115.0,168.0
761,39421.0,273.0
762,2630.0,156.0
764,30660.0,159.0
766,56749.0,165.0
768,39709.0,258.0
770,20368.0,100.0
771,27549.0,11.0
773,34084.0,253.0
774,43619.0,156.0
775,23700.0,27.0
776,53571.0,154.0
777,33966.0,70.0
779,51446.0,33.0
786,36098.0,245.0
787,42571.0,30.0
788,34010.0,148.0
790,32459.0,271.0
791,30011.0,185.0
792,39680.0,103.0
794,2630.0,183.0
795,33973.0,152.0
797,28709.0,244.0
798,29123.0,167.0
799,50362.0,61.0
800,32700.0,297.0
801,35864.0,217.0
803,34415.0,144.0
805,2630.0,221.0
806,26765.0,53.0
807,2630.0,58.0
811,2630.0,172.0
812,42309.0,220.0
814,27760.0,137.0
815,43715.0,106.0
818,30119.0,76.0
820,28607.0,82.0
821,28037.0,298.0
822,25409.0,245.0
823,31494.0,228.0
824,35668.0,117.0
826,27852.0,73.0
827,2630.0,34.0
828,34347.0,67.0
829,30163.0,91.0
830,35958.0,18.0
831,38976.0,60.0
832,31108.0,11.0
836,2630.0,10.0
838,2630.0,69.0
839,26701.0,25.0
840,31455.0,130.0
842,43360.0,99.0
844,29649.0,55.0
845,20956.0,298.0
846,2630.0,149.0
848,40127.0,122.0
852,43486.0,171.0
853,42878.0,98.0
854,46237.0,175.0
855,23235.0,18.0
857,2630.0,117.0
858,30422.0,253.0
860,34569.0,47.0
862,40381.0,216.0
863,38155.0,162.0
864,20591.0,155.0
865,38702.0,13.0
866,34469.0,263.0
867,36761.0,53.0
868,15677.0,40.0
869,24368.0,116.0
871,27453.0,117.0
875,38440.0,224.0
876,41874.0,21.0
878,36756.0,174.0
879,31479.0,223.0
881,2630.0,248.0
882,17330.0,236.0
885,18854.0,213.0
889,40226.0,111.0
890,2630.0,67.0
892,2630.0,120.0
893,39500.0,130.0
894,35118.0,284.0
896,38410.0,124.0
897,2630.0,109.0
898,38818.0,66.0
900,2630.0,122.0
901,42700.0,57.0
902,2630.0,21.0
903,39889.0,60.0
905,33804.0,297.0
906,22238.0,71.0
907,44559.0,193.0
910,32207.0,241.0
912,42378.0,205.0
913,22695.0,33.0
914,35318.0,211.0
916,56580.0,40.0
918,29759.0,143.0
920,2630.0,47.0
922,30330.0,70.0
925,22347.0,276.0
926,42349.0,122.0
927,45402.0,108.0
929,28785.0,149.0
932,36338.0,21.0
934,30330.0,274.0
935,2630.0,121.0
936,37002.0,48.0
938,30121.0,210.0
939,34097.0,248.0
940,41362.0,228.0
941,37832.0,252.0
942,2630.0,167.0
945,36480.0,277.0
948,38347.0,233.0
949,23168.0,146.0
950,38650.0,205.0
951,2630.0,121.0
952,24916.0,211.0
955,32218.0,178.0
957,31529.0,222.0
958,22897.0,226.0
959,28244.0,69.0
960,17487.0,277.0
961,45546.0,99.0
966,39771.0,169.0
967,49214.0,132.0
968,36822.0,92.0
970,21954.0,56.0
972,2630.0,169.0
975,52365.0,118.0
977,54187.0,259.0
980,23142.0,17.0
981,34844.0,119.0
983,30435.0,203.0
989,31239.0,181.0
991,44038.0,95.0
993,25906.0,207.0
994,36245.0,34.0
995,34465.0,220.0
996,35774.0,227.0
999,2630.0,84.0
1000,29990.0,146.0
1002,30068.0,168.0
1004,37526.0,98.0
1005,2630.0,207.0
1006,35826.0,174.0
1008,27759.0,177.0
1009,22009.0,198.0
1010,31210.0,126.0
1015,22312.0,60.0
1016,40565.0,253.0
1017,31582.0,203.0
1018,30762.0,79.0
1020,2630.0,134.0
1021,26184.0,150.0
1023,21421.0,169.0
1027,36329.0,227.0
1029,2630.0,209.0
1031,2630.0,100.0
1033,24155.0,275.0
1034,19431.0,191.0
1035,41043.0,233.0
1038,29166.0,234.0
1040,35660.0,180.0
1041,49145.0,186.0
1042,43934.0,26.0
1046,24293.0,251.0
1047,34837.0,39.0
1048,36099.0,19.0
1050,52460.0,152.0
1055,28589.0,262.0
1056,27213.0,164.0
1057,2630.0,212.0
1058,30562.0,117.0
1060,48895.0,294.0
1061,34851.0,269.0
1063,37134.0,55.0
1067,2630.0,110.0
1068,28697.0,56.0
1069,49959.0,53.0
1070,41969.0,126.0
1071,56434.0,173.0
1072,24185.0,250.0
1073,2630.0,236.0
1074,25453.0,193.0
1075,2630.0,215.0
1077,2630.0,112.0
1078,34064.0,142.0
1081,26191.0,125.0
1083,42319.0,148.0
1085,45193.0,78.0
1087,28447.0,127.0
1089,41703.0,151.0
1090,42758.0,274.0
1091,26503.0,90.0
1093,37545.0,151.0
1094,32609.0,74.0
1095,28331.0,291.0
1102,2630.0,251.0
1105,41008.0,28.0
1107,2630.0,290.0
1108,2630.0,24.0
1113,2630.0,148.0
1114,27561.0,292.0
1117,29025.0,21.0
1118,34762.0,291.0
1120,45427.0,135.0
1121,30631.0,294.0
1122,24449.0,195.0
1124,24843.0,48.0
1127,2630.0,244.0
1130,51198.0,189.0
1131,27363.0,295.0
1132,24356.0,289.0
1134,20669.0,57.0
1135,41581.0,99.0
1136,38146.0,142.0
1137,43008.0,272.0
1138,45439.0,182.0
1139,35448.0,112.0
1141,29435.0,178.0
1142,2630.0,71.0
1143,41771.0,103.0
1144,30966.0,213.0
1148,31431.0,10.0
1149,41644.0,160.0
1150,32055.0,212.0
1151,40542.0,284.0
1153,31328.0,116.0
1154,36464.0,182.0
1156,34837.0,198.0
1158,22991.0,16.0
1159,36225.0,76.0
1160,2630.0,87.0
1161,35564.0,258.0
1163,32002.0,265.0
1166,27341.0,195.0
1167,40082.0,128.0
1170,47647.0,227.0
1171,35481.0,63.0
1173,2630.0,286.0
1174,2630.0,270.0
1175,27240.0,277.0
1176,34863.0,170.0
1183,21982.0,72.0
1184,28320.0,29.0
1185,2630.0,131.0
1187,33350.0,10.0
1188,2630.0,45.0
1189,40098.0,98.0
1193,25723.0,161.0
1194,51713.0,244.0
1195,30811.0,282.0
1196,34782.0,111.0
1197,33436.0,267.0
1200,2630.0,63.0
1205,29597.0,97.0
1206,39226.0,48.0
1207,26643.0,239.0
1208,33970.0,69.0
1210,2630.0,287.0
1211,29563.0,197.0
1213,44274.0,140.0
1214,29246.0,221.0
1217,27087.0,270.0
1218,49108.0,197.0
1219,24670.0,281.0
1222,36142.0,156.0
1224,22889.0,267.0
1226,42908.0,55.0
1227,22787.0,165.0
1228,50126.0,264.0
1229,2630.0,150.0
1230,33980.0,171.0
1231,33196.0,10.0
1232,32944.0,280.0
1234,26193.0,167.0
1235,40537.0,35.0
1238,16520.0,205.0
1239,44957.0,224.0
1240,2630.0,175.0
1241,2630.0,52.0
1242,30132.0,223.0
1243,35839.0,285.0
1245,22901.0,195.0
1249,2630.0,233.0
1250,33231.0,166.0
1251,26803.0,204.0
1253,26303.0,293.0
1258,34150.0,206.0
1260,2630.0,127.0
1262,2630.0,194.0
1263,33815.0,176.0
1265,27228.0,39.0
1268,2630.0,158.0
1271,48289.0,113.0
1272,28343.0,43.0
1273,42624.0,206.0
1274,35949.0,138.0
1276,2630.0,258.0
1278,27770.0,31.0
1280,26119.0,252.0
1282,2630.0,265.0
1283,26157.0,150.0
1286,2630.0,112.0
1287,23828.0,190.0
1289,29056.0,169.0
1290,43559.0,106.0
1291,28614.0,118.0
1293,2630.0,81.0
1294,29845.0,226.0
1295,2630.0,238.0
1296,2630.0,202.0
1301,37577.0,180.0
1306,49471.0,282.0
1309,2630.0,117.0
1310,26059.0,225.0
1312,2630.0,178.0
1313,2630.0,107.0
1316,32684.0,63.0
1320,39145.0,254.0
1327,31307.0,19.0
1329,27560.0,280.0
1330,42311.0,125.0
1331,38305.0,217.0
1332,30500.0,147.0
1337,44841.0,263.0
1338,25514.0,65.0
1339,34747.0,129.0
1342,38816.0,59.0
1343,40721.0,182.0
1346,36998.0,214.0
1348,49862.0,261.0
1350,30125.0,157.0
1351,2630.0,227.0
1354,32389.0,189.0
1355,2630.0,205.0
1359,44767.0,217.0
1361,27242.0,132.0
1362,39450.0,234.0
1363,54272.0,199.0
1364,28816.0,176.0
1365,49163.0,237.0
1366,34586.0,66.0
1367,43104.0,50.0
1370,37055.0,217.0
1371,49512.0,109.0
1373,36862.0,106.0
1375,57167.0,49.0
1376,34744.0,115.0
1377,2630.0,252.0
1379,50403.0,175.0
1381,23688.0,174.0
1382,33964.0,55.0
1383,2630.0,148.0
1384,33484.0,242.0
1385,44861.0,297.0
1388,45887.0,217.0
1390,50572.0,198.0
1393,28942.0,58.0
1394,12925.0,106.0
1396,41415.0,168.0
1397,49695.0,76.0
1399,2630.0,194.0
1401,30964.0,116.0
1402,58727.0,153.0
1403,29387.0,298.0
1404,29434.0,170.0
1405,28456.0,71.0
1407,26067.0,121.0
1409,40330.0,208.0
1410,37483.0,54.0
1412,2630.0,150.0
1413,32752.0,153.0
1415,38139.0,271.0
1416,30636.0,278.0
1417,30884.0,230.0
1420,2630.0,136.0
1421,2630.0,152.0
1422,28046.0,135.0
1423,28482.0,207.0
1425,47406.0,151.0
1426,2630.0,63.0
1427,24842.0,275.0
1428,39049.0,221.0
1429,40319.0,18.0
1431,39395.0,151.0
1432,2630.0,74.0
1438,26076.0,211.0
1439,21066.0,181.0
1440,26929.0,156.0
1441,27070.0,24.0
1442,33817.0,258.0
1443,2630.0,282.0
1445,27318.0,226.0
1447,55317.0,281.0
1449,29329.0,59.0
1450,31492.0,282.0
1453,34936.0,165.0
1454,29820.0,30.0
1455,2630.0,201.0
1458,30566.0,63.0
1460,31783.0,101.0
1461,22649.0,120.0
1462,2630.0,266.0
1463,2630.0,86.0
1465,43343.0,87.0
1466,31510.0,175.0
1467,36348.0,40.0
1468,33787.0,162.0
1469,2630.0,189.0
1473,35590.0,277.0
1474,32077.0,157.0
1475,26789.0,23.0
1477,33009.0,170.0
1478,41763.0,35.0
1479,24337.0,247.0
1480,29678.0,216.0
1481,38228.0,148.0
1482,52205.0,292.0
1483,34095.0,137.0
1485,45244.0,115.0
1487,34102.0,295.0
1488,34829.0,260.0
1490,2630.0,281.0
1491,29293.0,228.0
1492,38331.0,239.0
1494,38344.0,232.0
1495,2630.0,268.0
1497,33299.0,134.0
1500,2630.0,125.0
1502,2630.0,24.0
1504,2630.0,238.0
1506,42881.0,105.0
1507,36373.0,74.0
1509,25157.0,105.0
1512,38944.0,202.0
1514,32141.0,178.0
1516,37782.0,59.0
1518,2630.0,97.0
1522,58709.0,16.0
1524,33416.0,30.0
1525,2630.0,19.0
1527,29414.0,265.0
1529,2630.0,87.0
1530,22056.0,236.0
1531,2630.0,30.0
1532,23069.0,20.0
1533,25603.0,133.0
1534,30886.0,27.0
1536,41315.0,299.0
1537,36179.0,247.0
1538,39808.0,64.0
1539,60732.0,217.0
1540,31770.0,233.0
1541,2630.0,207.0
1543,33028.0,85.0
1545,2630.0,59.0
1546,23532.0,180.0
1548,20103.0,44.0
1549,47633.0,55.0
1550,27499.0,146.0
1555,44351.0,203.0
1558,38563.0,189.0
1559,32139.0,209.0
1560,25633.0,159.0
1561,32612.0,265.0
1562,2630.0,44.0
1563,31779.0,256.0
1566,2630.0,80.0
1567,46752.0,30.0
1570,30430.0,292.0
1572,34366.0,299.0
1573,29112.0,195.0
1575,25983.0,23.0
1577,46006.0,46.0
1578,32857.0,112.0
1579,28665.0,58.0
1582,36509.0,93.0
1583,29744.0,289.0
1584,39649.0,39.0
1585,44006.0,84.0
1586,27084.0,21.0
1589,27767.0,168.0
1590,24258.0,293.0
1592,37097.0,24.0
1593,2630.0,102.0
1597,2630.0,210.0
1598,2630.0,132.0
1599,38084.0,172.0
1603,39560.0,282.0
1604,23185.0,117.0
1605,26270.0,207.0
1606,27404.0,263.0
1607,42948.0,54.0
1610,2630.0,187.0
1613,31056.0,30.0
1616,39283.0,138.0
1617,26735.0,202.0
1619,2630.0,150.0
1620,44514.0,250.0
1621,30473.0,142.0
1623,48767.0,51.0
1624,45446.0,160.0
1625,28785.0,100.0
1626,38715.0,107.0
1628,28333.0,78.0
1632,25437.0,276.0
1633,52203.0,90.0
1634,55511.0,280.0
1636,2630.0,73.0
1637,2630.0,255.0
1639,2630.0,240.0
1640,33836.0,202.0
1642,23170.0,12.0
1643,32314.0,272.0
1647,36776.0,151.0
1648,52895.0,19.0
1649,32418.0,244.0
1650,37886.0,124.0
1652,32098.0,76.0
1656,23086.0,116.0
1657,25742.0,52.0
1660,25212.0,282.0
1661,20998.0,43.0
1662,38246.0,39.0
1663,28236.0,233.0
1664,58078.0,110.0
1667,57248.0,174.0
1668,25070.0,209.0
1669,41909.0,71.0
1672,24525.0,245.0
1674,40673.0,10.0
1676,31072.0,101.0
1677,25893.0,143.0
1678,19033.0,203.0
1681,2630.0,294.0
1683,31720.0,232.0
1686,2630.0,30.0
1687,2630.0,169.0
1689,45932.0,25.0
1693,2630.0,84.0
1695,30263.0,61.0
1697,2630.0,244.0
1698,37559.0,148.0
1699,38489.0,250.0
1701,51031.0,238.0
1705,41841.0,121.0
1706,24390.0,65.0
1708,39942.0,139.0
1710,31918.0,268.0
1711,31207.0,199.0
1715,2630.0,82.0
1721,29959.0,251.0
1722,2630.0,216.0
1723,36590.0,248.0
1725,54542.0,151.0
1726,31979.0,83.0
1729,40164.0,187.0
1732,47500.0,197.0
1733,30942.0,187.0
1734,45078.0,196.0
1735,25054.0,48.0
1737,32944.0,238.0
1739,38586.0,190.0
1740,48362.0,149.0
1741,30888.0,191.0
1742,35278.0,43.0
1745,39702.0,234.0
1746,53669.0,18.0
1747,46376.0,241.0
1749,31703.0,254.0
1752,32457.0,282.0
1753,27855.0,104.0
1755,55791.0,199.0
1759,2630.0,56.0
1762,22845.0,146.0
1765,28734.0,132.0
1767,23660.0,42.0
1768,2630.0,17.0
1769,32970.0,219.0
1770,36598.0,242.0
1771,31650.0,84.0
1773,48835.0,94.0
1777,32563.0,15.0
1778,24980.0,252.0
1779,39117.0,136.0
1780,36780.0,259.0
1783,33264.0,179.0
1784,27017.0,206.0
1785,2630.0,30.0
1787,43303.0,201.0
1788,42561.0,243.0
1789,48205.0,180.0
1790,32657.0,273.0
1791,39251.0,208.0
1793,17942.0,290.0
1795,2630.0,88.0
1799,2630.0,292.0
1800,2630.0,197.0
1802,26224.0,246.0
1803,41287.0,298.0
1804,30344.0,222.0
1806,51232.0,154.0
1808,30653.0,226.0
1809,37999.0,37.0
1810,43512.0,84.0
1811,59219.0,118.0
1813,31729.0,68.0
1814,39061.0,251.0
1815,47176.0,212.0
1817,32543.0,56.0
1818,2630.0,273.0
1819,27369.0,73.0
1820,26050.0,43.0
1821,2630.0,185.0
1822,52377.0,194.0
1824,32383.0,84.0
1825,45366.0,203.0
1827,40407.0,29.0
1828,47797.0,131.0
1829,42386.0,110.0
1830,28367.0,105.0
1831,37944.0,37.0
1833,36611.0,181.0
1834,37323.0,172.0
1835,24615.0,224.0
1836,21969.0,262.0
1840,24866.0,16.0
1841,2630.0,245.0
1842,59145.0,275.0
1844,27753.0,26.0
1845,2630.0,93.0
1846,31826.0,272.0
1847,2630.0,227.0
1848,24852.0,39.0
1851,2630.0,94.0
1852,21995.0,121.0
1854,45368.0,170.0
1855,2630.0,170.0
1857,32189.0,74.0
1858,33640.0,226.0
1861,19829.0,238.0
1863,40499.0,108.0
1864,2630.0,53.0
1865,30722.0,173.0
1866,34165.0,143.0
1869,23559.0,230.0
1871,18126.0,161.0
1874,57486.0,64.0
1876,30289.0,59.0
1877,38421.0,123.0
1878,34841.0,250.0
1879,28360.0,87.0
1882,2630.0,249.0
1885,2630.0,56.0
1888,40414.0,293.0
1889,34522.0,152.0
1892,2630.0,85.0
1895,42182.0,171.0
1896,28978.0,199.0
1898,26515.0,259.0
1899,29959.0,288.0
1900,40882.0,22.0
1901,30067.0,279.0
1902,30425.0,290.0
1903,49414.0,290.0
1904,37507.0,145.0
1905,52803.0,278.0
1907,31469.0,52.0
1909,39381.0,30.0
1912,49993.0,230.0
1913,39204.0,130.0
1915,46070.0,147.0
1920,27353.0,181.0
1921,24082.0,87.0
1923,38367.0,77.0
1928,29193.0,122.0
1929,26773.0,217.0
1931,32643.0,64.0
1932,43844.0,127.0
1934,36478.0,20.0
1935,55566.0,25.0
1938,2630.0,72.0
1939,31178.0,177.0
1940,2630.0,260.0
1942,18645.0,293.0
1943,31789.0,178.0
1944,25697.0,216.0
1953,2630.0,243.0
1954,29409.0,87.0
1956,45158.0,241.0
1960,21023.0,222.0
1961,2630.0,248.0
1962,2630.0,126.0
1966,24840.0,86.0
1968,2630.0,157.0
1969,40404.0,13.0
1970,2630.0,191.0
1975,2630.0,217.0
1977,35687.0,192.0
1978,2630.0,163.0
1979,35772.0,62.0
1980,21389.0,201.0
1981,32309.0,106.0
1983,2630.0,208.0
1985,23906.0,67.0
1986,35789.0,77.0
1987,30937.0,170.0
1988,58937.0,100.0
1989,42598.0,45.0
1990,2630.0,77.0
1991,45203.0,282.0
1993,39298.0,175.0
1994,29769.0,279.0
1996,2630.0,296.0
1998,2630.0,113.0
1999,2630.0,193.0
2000,35461.0,17.0
2001,2630.0,184.0
2002,30279.0,154.0
2004,38234.0,247.0
2008,42324.0,296.0
2009,2630.0,106.0
2010,31208.0,251.0
2011,15632.0,153.0
2012,37557.0,124.0
2015,2630.0,131.0
2017,58973.0,152.0
2022,35570.0,163.0
2023,24665.0,117.0
2025,26850.0,263.0
2027,50580.0,113.0
2028,30918.0,230.0
2029,2630.0,277.0
2030,2630.0,285.0
2031,37138.0,156.0
2032,24866.0,31.0
2034,36549.0,136.0
2036,26771.0,11.0
2038,43251.0,69.0
2041,36034.0,89.0
2042,23244.0,72.0
2043,2630.0,250.0
2044,44214.0,76.0
2045,29553.0,59.0
2047,2630.0,167.0
2049,25050.0,97.0
2052,39554.0,25.0
2053,29863.0,44.0
2056,49117.0,83.0
2057,21935.0,81.0
2058,20222.0,287.0
2059,33418.0,70.0
2060,25966.0,86.0
2061,20034.0,228.0
2063,2630.0,292.0
2064,21544.0,293.0
2067,44239.0,154.0
2068,33982.0,40.0
